Time,Air/Fuel Correction #1 (%),Engine Load (RAM) (g/rev),Engine Speed (rpm),Feedback Correction (degrees),IAM (multiplier),Ignition Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Knock Correction (degrees),Manifold Rel. Pressure (Corrected) (psi),Mass Air Flow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Vehicle Speed (mph)
0,1.56,0.96,1470,0.00,1.00,22.50,106,14.00,1.00,-2.18,21.39,0.00,15.29,12
280,4.69,1.00,1567,0.00,1.00,16.50,106,17.00,2.00,-2.03,25.41,0.00,18.04,14
541,5.47,1.04,1666,0.00,1.00,17.50,106,18.00,2.00,-1.74,27.41,0.00,18.43,15
811,4.69,1.04,1780,0.00,1.00,19.00,106,17.00,2.50,-1.74,30.26,24.31,19.61,15
1091,5.47,1.12,1882,0.00,1.00,21.50,106,18.00,2.50,-0.44,31.52,24.31,19.61,17
1362,6.25,1.35,2004,0.00,1.00,22.00,106,16.00,2.50,2.47,38.59,24.71,24.31,17
1642,0.00,1.47,2128,0.00,1.00,15.50,106,15.00,5.50,3.77,50.35,89.41,100.00,19
1923,0.00,1.63,2331,0.00,1.00,14.00,106,15.00,6.00,5.51,59.55,89.41,100.00,19
2193,0.00,1.84,2434,0.00,1.00,13.50,106,16.00,5.50,7.98,71.65,89.41,100.00,21
2463,0.00,2.09,2644,0.00,1.00,12.50,106,15.00,5.50,11.17,85.50,89.41,100.00,24
2734,0.00,2.38,2930,0.00,1.00,11.50,104,14.00,5.00,14.51,105.57,89.41,100.00,24
3014,0.00,2.51,3148,0.00,1.00,10.00,104,13.00,5.00,15.67,131.93,89.41,100.00,27
3295,0.00,2.62,3503,0.00,1.00,10.00,104,13.00,5.00,15.53,146.54,84.71,100.00,27
3565,0.00,2.60,3732,0.00,1.00,11.00,104,12.00,6.00,15.09,164.23,89.41,100.00,31
3845,0.00,2.52,4152,0.00,1.00,11.50,104,10.00,6.00,14.51,178.15,89.41,100.00,36
4116,0.00,2.45,4415,0.00,1.00,13.50,102,7.00,6.00,13.64,180.80,88.24,100.00,36
4386,0.00,2.40,4635,0.00,1.00,14.50,102,7.00,6.00,13.06,189.71,87.45,100.00,41
4657,0.00,2.33,4871,0.00,1.00,15.00,102,6.00,6.00,11.90,193.00,87.84,100.00,41
4927,0.00,2.26,5128,0.00,1.00,16.50,102,4.00,6.00,11.03,196.71,88.24,100.00,46
5197,0.00,2.19,5430,0.00,1.00,18.00,100,3.00,6.00,10.30,199.99,88.24,100.00,46
5468,0.00,2.12,5575,0.00,1.00,19.50,100,1.00,6.00,9.58,204.72,87.84,100.00,50
5748,0.00,2.03,5776,0.00,1.00,20.50,100,0.00,6.00,9.29,207.39,87.84,100.00,54
6018,0.00,1.96,6045,0.00,1.00,21.50,100,0.00,6.00,8.85,203.39,87.45,100.00,54
6289,0.00,0.16,6328,0.00,1.00,22.50,100,0.00,6.00,-10.88,206.06,87.45,43.53,58
6559,0.00,0.20,6414,0.00,1.00,24.00,100,1.00,0.00,-10.88,16.31,0.00,11.37,58
6830,0.00,1.56,5736,0.00,1.00,26.50,99,0.00,0.00,4.35,19.68,12.55,12.94,61
7100,0.00,2.30,4501,0.00,1.00,14.50,99,7.00,6.00,12.04,129.81,87.45,100.00,61
7380,0.00,2.47,4592,0.00,1.00,15.50,99,7.00,6.00,13.93,183.14,87.45,100.00,63
7651,0.00,0.82,4675,0.00,1.00,14.50,99,6.00,6.00,-0.73,191.36,87.45,100.00,65
7921,0.00,0.19,5493,0.00,1.00,23.00,99,1.00,0.00,-11.17,59.54,0.00,13.73,65
8192,0.00,0.35,5296,0.00,1.00,24.00,99,1.00,0.00,-5.37,17.94,0.00,10.98,66
8462,0.00,1.58,4310,0.00,1.00,33.00,99,8.00,0.00,4.93,77.34,15.29,77.65,66
8732,0.00,2.18,3482,0.00,1.00,4.50,99,14.00,5.50,11.90,99.04,89.02,100.00,68
9003,0.00,2.57,3477,0.00,1.00,12.00,99,13.00,5.00,16.25,135.01,89.02,100.00,68
