Time,Air/Fuel Correction #1 (%),Engine Load (RAM) (g/rev),Engine Speed (rpm),Feedback Correction (degrees),IAM (multiplier),Ignition Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Knock Correction (degrees),Manifold Rel. Pressure (Corrected) (psi),Mass Air Flow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Vehicle Speed (mph)
0,-0.78,0.40,848,0.00,1.00,16.50,73,19.00,0.00,-9.00,4.45,0.00,4.31,30
270,-0.78,1.05,2098,0.00,1.00,52.50,73,28.00,0.00,-1.45,15.55,20.39,13.73,30
541,0.78,1.34,2148,0.00,1.00,27.00,73,21.00,2.50,1.16,43.66,32.55,40.00,30
811,0.00,1.51,2224,0.00,1.00,17.50,73,16.00,5.00,3.19,51.22,83.53,100.00,30
1082,0.00,1.68,2251,0.00,1.00,14.50,73,16.00,6.00,5.37,58.46,84.31,100.00,30
1362,0.00,1.88,2338,0.00,1.00,14.50,73,15.00,6.00,7.40,67.98,84.31,100.00,31
1712,0.00,2.11,2431,0.00,1.00,12.00,73,14.00,5.00,10.16,80.03,84.31,100.00,33
1983,0.00,2.42,2558,0.00,1.00,11.00,73,15.00,5.00,13.93,93.06,84.31,100.00,33
2253,0.00,2.69,2699,0.00,1.00,10.50,73,15.00,5.00,16.83,112.85,84.31,100.00,35
2524,0.00,2.75,2860,0.00,1.00,9.00,73,14.00,5.00,17.56,132.57,77.25,100.00,35
2794,0.00,2.75,2983,0.00,1.00,8.50,72,14.00,5.00,17.41,139.15,76.47,100.00,38
3064,0.00,2.77,3158,0.00,1.00,8.50,72,13.00,5.00,17.41,145.53,76.47,100.00,41
3345,0.00,2.80,3299,0.00,1.00,8.50,72,13.00,5.00,16.98,151.96,76.47,100.00,41
3615,0.00,2.83,3416,0.00,1.00,9.00,72,13.00,5.00,16.69,161.00,76.47,100.00,45
3886,0.00,2.85,3596,0.00,1.00,10.50,72,13.00,6.00,16.54,170.57,76.47,100.00,45
4226,0.00,2.86,3760,0.00,1.00,10.50,72,13.00,6.00,16.40,178.53,76.86,100.00,48
4486,0.00,2.82,3872,0.00,1.00,10.50,72,12.00,6.00,16.11,185.60,76.86,100.00,52
4767,0.00,2.79,4059,0.00,1.00,10.50,72,11.00,6.00,16.11,192.18,77.25,100.00,52
