Time,Air/Fuel Correction #1 (%),Engine Load (RAM) (g/rev),Engine Speed (rpm),Feedback Correction (degrees),IAM (multiplier),Ignition Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Knock Correction (degrees),Manifold Rel. Pressure (Corrected) (psi),Mass Air Flow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Vehicle Speed (mph)
0,0.00,0.51,3464,0.00,1.00,10.00,99,0.00,5.00,-7.40,155.44,82.75,100.00,12
260,2.34,0.51,1266,0.00,1.00,32.50,99,1.00,0.00,-7.40,10.04,0.00,7.84,12
530,0.78,0.52,1282,0.00,1.00,33.00,99,3.00,0.00,-7.40,11.06,0.00,8.24,12
801,1.56,0.50,1320,0.00,1.00,33.50,99,6.00,0.00,-7.55,11.03,0.00,8.24,13
1081,0.78,0.50,1354,0.00,1.00,34.50,99,9.00,0.00,-7.69,10.82,0.00,8.24,13
1352,0.78,0.49,1391,0.00,1.00,35.50,99,12.00,0.00,-7.84,11.17,0.00,8.24,13
1622,0.00,0.48,1414,0.00,1.00,36.50,99,15.00,0.00,-7.84,11.26,0.00,8.24,13
1892,0.00,0.46,1453,0.00,1.00,37.00,99,17.00,0.00,-8.13,11.26,0.00,8.24,14
2173,-0.78,0.46,1534,0.00,1.00,39.00,99,17.00,0.00,-8.27,10.76,0.00,7.84,14
2433,-1.56,0.45,1507,0.00,1.00,39.50,99,18.00,0.00,-8.27,10.87,0.00,8.24,14
2704,-1.56,0.44,1537,0.00,1.00,40.50,99,19.00,0.00,-8.42,11.21,0.00,8.24,15
2974,-0.78,0.44,1562,0.00,1.00,41.00,99,20.00,0.00,-8.56,11.16,0.00,8.24,15
3254,0.00,0.43,1589,0.00,1.00,42.00,99,21.00,0.00,-8.71,11.17,0.00,8.24,16
3525,0.00,0.43,1602,0.00,1.00,42.50,99,21.00,0.00,-8.85,11.11,0.00,8.24,16
3795,0.78,0.42,1634,0.00,1.00,43.50,99,20.00,0.00,-8.85,11.26,0.00,8.24,16
4066,1.56,0.41,1651,0.00,1.00,44.50,99,20.00,0.00,-9.00,11.12,0.00,8.24,16
4336,1.56,0.41,1683,0.00,1.00,45.00,99,19.00,0.00,-9.00,11.16,0.00,8.24,16
4616,2.34,0.40,1687,0.00,1.00,45.50,99,18.00,0.00,-9.14,11.06,21.18,8.24,16
4887,2.34,0.39,1724,0.00,1.00,46.50,99,17.00,0.00,-9.14,11.11,21.57,8.24,16
5157,2.34,0.39,1744,0.00,1.00,47.50,99,17.00,0.00,-9.14,11.06,21.57,8.24,17
5427,2.34,0.39,1764,0.00,1.00,48.00,99,16.00,0.00,-9.14,11.16,21.57,8.24,17
5698,3.12,0.38,1786,0.00,1.00,48.50,99,16.00,0.00,-9.29,11.25,21.57,8.24,17
5968,3.12,0.38,1805,0.00,1.00,49.00,99,15.00,0.00,-9.29,10.92,21.57,8.24,17
6239,2.34,0.37,1814,0.00,1.00,49.50,99,15.00,0.00,-9.29,11.07,21.57,8.24,18
